id,user_id,household_members,meeting_point,evacuation_routes,supply_checklist,notes,created_at
1,9,5,Waiting Shed of Barangay 1,Munlawin Sur Elementary School,"- Water  
- Non-perishable food  
- Manual can opener  
- Extra clothes  
- Rain gear  
- Sturdy shoes  
- Blankets  
- Sleeping bags  
- First aid kit  
- Prescription medications  
- Flashlight  
- Extra batteries  
- Battery-powered/hand-crank radio  
- Multi-purpose tool  
- Matches/lighter (waterproof)  
- Whistle  
- Plastic sheeting  
- Duct tape  
- Local maps  
- Soap  
- Hand sanitizer  
- Toothbrush  
- Toothpaste  
- Feminine hygiene products  
- Toilet paper  
- Important documents (copies)  
- Mobile phone  
- Charger  
- Power bank  
- Contact list  
- Cash (small bills/coins)  
- Baby supplies  
- Pet supplies  
- Masks (for ash)  
- Goggles (for ash)  
- Waterproof bags  
- Tarps  
- Rope  
- Extra fuel  
- Tools to secure windows/doors",,2025-12-13 15:13:17.675581
2,5,3,Barangay Hall of Munlawin Sur,Munlawin Sur Elementary School,"*   Sturdy shoes
*   Waterproof bags
*   Toothbrush
*   Mobile phone
*   Sleeping bags
*   Local maps
*   Rope
*   Baby supplies
*   Plastic sheeting
*   Rain gear
*   Cash (small bills/coins)
*   Hand sanitizer
*   Extra batteries
*   Non-perishable food
*   Blankets
*   Important documents (copies)
*   First aid kit
*   Battery-powered/hand-crank radio
*   Matches/lighter (waterproof)
*   Feminine hygiene products
*   Tarps
*   Extra fuel
*   Pet supplies
*   Flashlight
*   Prescription medications
*   Multi-purpose tool
*   Contact list
*   Water
*   Goggles (for ash)
*   Masks (for ash)
*   Toilet paper
*   Extra clothes
*   Soap
*   Charger
*   Toothpaste
*   Manual can opener
*   Power bank
*   Tools to secure windows/doors
*   Duct tape
*   Whistle",Be on time.,2025-12-13 15:17:29.593977
3,6,2,Barangay Hall of Munlawin Sur,Munlawin Sur Elementary School,"*   Toothpaste
*   Rain gear
*   Manual can opener
*   Contact list
*   Pet supplies
*   Extra fuel
*   First aid kit
*   Waterproof bags
*   Toothbrush
*   Masks (for ash)
*   Mobile phone
*   Local maps
*   Sleeping bags
*   Duct tape
*   Whistle
*   Cash (small bills/coins)
*   Plastic sheeting
*   Extra batteries
*   Soap
*   Blankets
*   Baby supplies
*   Extra clothes
*   Feminine hygiene products
*   Matches/lighter (waterproof)
*   Charger
*   Power bank
*   Sturdy shoes
*   Water
*   Non-perishable food
*   Prescription medications
*   Battery-powered/hand-crank radio
*   Goggles (for ash)
*   Important documents (copies)
*   Hand sanitizer
*   Tools to secure windows/doors
*   Multi-purpose tool
*   Tarps
*   Toilet paper
*   Flashlight",,2025-12-13 15:19:21.375031
4,8,4,Waiting Shed of Barangay 2,Munlawin Sur Elementary School,"*   Cash (small bills/coins)
*   Multi-purpose tool
*   Sleeping bags
*   Extra fuel
*   Baby supplies
*   Masks (for ash)
*   Hand sanitizer
*   Rain gear
*   Extra clothes
*   Contact list
*   Water
*   Toilet paper
*   Sturdy shoes
*   Tarps
*   Important documents (copies)
*   Local maps
*   Toothpaste
*   Matches/lighter (waterproof)
*   Mobile phone
*   Feminine hygiene products
*   Power bank
*   Waterproof bags
*   Toothbrush
*   Prescription medications
*   Non-perishable food
*   Blankets
*   Pet supplies
*   Extra batteries
*   Battery-powered/hand-crank radio
*   Goggles (for ash)
*   Charger
*   Whistle
*   Soap
*   Manual can opener
*   First aid kit
*   Duct tape
*   Tools to secure windows/doors
*   Plastic sheeting
*   Flashlight",,2025-12-13 15:21:17.213702
5,10,2,Waiting Shed of Barangay 3,Munlawin Sur Elementary School,"*   Power bank
*   Manual can opener
*   Extra clothes
*   First aid kit
*   Toothbrush
*   Water
*   Cash (small bills/coins)
*   Tarps
*   Baby supplies
*   Mobile phone
*   Duct tape
*   Matches/lighter (waterproof)
*   Contact list
*   Local maps
*   Rain gear
*   Important documents (copies)
*   Blankets
*   Toilet paper
*   Toothpaste
*   Masks (for ash)
*   Extra batteries
*   Sleeping bags
*   Extra fuel
*   Hand sanitizer
*   Sturdy shoes
*   Waterproof bags
*   Pet supplies
*   Prescription medications
*   Multi-purpose tool
*   Soap
*   Battery-powered/hand-crank radio
*   Non-perishable food
*   Whistle
*   Goggles (for ash)
*   Charger
*   Tools to secure windows/doors
*   Flashlight
*   Plastic sheeting
*   Feminine hygiene products",,2025-12-13 16:26:20.800707
6,4,1,Barangay Hall of Munlawin Sur,Munlawin Sur Elementary School,"*   Sturdy shoes
*   Waterproof bags
*   Matches/lighter (waterproof)
*   Power bank
*   Baby supplies
*   Hand sanitizer
*   Toothbrush
*   Blankets
*   Soap
*   Tarps
*   Rain gear
*   Mobile phone
*   Prescription medications
*   Flashlight
*   Extra batteries
*   Plastic sheeting
*   Pet supplies
*   Contact list
*   Goggles (for ash)
*   Manual can opener
*   Toothpaste
*   Non-perishable food
*   Sleeping bags
*   Local maps
*   Extra clothes
*   Multi-purpose tool
*   Water
*   Duct tape
*   Charger
*   Battery-powered/hand-crank radio
*   First aid kit
*   Tools to secure windows/doors
*   Masks (for ash)
*   Extra fuel
*   Important documents (copies)
*   Toilet paper
*   Cash (small bills/coins)
*   Feminine hygiene products
*   Whistle",,2025-12-13 16:32:38.651341
7,7,3,Waiting Shed of Barangay 2,Barangay Hall,"*   Waterproof bags
*   Toothpaste
*   Rain gear
*   Baby supplies
*   Mobile phone
*   Non-perishable food
*   Blankets
*   Matches/lighter (waterproof)
*   Plastic sheeting
*   First aid kit
*   Goggles (for ash)
*   Charger
*   Contact list
*   Pet supplies
*   Flashlight
*   Duct tape
*   Multi-purpose tool
*   Sturdy shoes
*   Power bank
*   Manual can opener
*   Extra batteries
*   Important documents (copies)
*   Soap
*   Sleeping bags
*   Water
*   Whistle
*   Tarps
*   Extra clothes
*   Toothbrush
*   Tools to secure windows/doors
*   Masks (for ash)
*   Local maps
*   Extra fuel
*   Feminine hygiene products
*   Battery-powered/hand-crank radio
*   Hand sanitizer
*   Cash (small bills/coins)
*   Prescription medications",,2025-12-13 17:20:52.347235
8,11,2,Barangay Hall of Munlawin Sur,Munlawin Sur Elementary School,"*   Toothpaste
*   Baby supplies
*   Charger
*   Water
*   Sturdy shoes
*   Masks (for ash)
*   Rain gear
*   Mobile phone
*   Blankets
*   Matches/lighter (waterproof)
*   Non-perishable food
*   Toilet paper
*   Power bank
*   Toothbrush
*   Waterproof bags
*   Pet supplies
*   Sleeping bags
*   Flashlight
*   Contact list
*   Goggles (for ash)
*   Soap
*   Duct tape
*   Tools to secure windows/doors
*   Extra batteries
*   Manual can opener
*   Plastic sheeting
*   Extra fuel
*   First aid kit
*   Local maps
*   Multi-purpose tool
*   Tarps
*   Prescription medications
*   Battery-powered/hand-crank radio
*   Whistle
*   Hand sanitizer
*   Feminine hygiene products
*   Extra clothes
*   Cash (small bills/coins)",,2025-12-13 17:33:12.604533
9,12,2,Waiting Shed of Barangay 2,Barangay Hall of Munlawin Sur,"*   Rain gear
*   Charger
*   Toilet paper
*   Matches/lighter (waterproof)
*   Water
*   Toothpaste
*   Important documents (copies)
*   Sleeping bags
*   Hand sanitizer
*   Extra clothes
*   Tools to secure windows/doors
*   Mobile phone
*   Toothbrush
*   Duct tape
*   Contact list
*   Goggles (for ash)
*   Pet supplies
*   Flashlight
*   Local maps
*   Masks (for ash)
*   Sturdy shoes
*   Blankets
*   First aid kit
*   Waterproof bags
*   Soap
*   Non-perishable food
*   Extra batteries
*   Manual can opener
*   Tarps
*   Multi-purpose tool
*   Feminine hygiene products
*   Plastic sheeting
*   Whistle
*   Power bank
*   Baby supplies
*   Extra fuel
*   Prescription medications
*   Battery-powered/hand-crank radio
*   Cash (small bills/coins)",,2025-12-13 17:41:13.801760
10,13,4,Barangay Hall of Munlawin Sur,Munlawin Sur Elementary School,"*   Soap
*   Mobile phone
*   Water
*   Pet supplies
*   Toothpaste
*   Matches/lighter (waterproof)
*   Sturdy shoes
*   Toilet paper
*   Plastic sheeting
*   Blankets
*   Flashlight
*   Toothbrush
*   First aid kit
*   Baby supplies
*   Manual can opener
*   Rain gear
*   Waterproof bags
*   Non-perishable food
*   Tools to secure windows/doors
*   Power bank
*   Whistle
*   Extra fuel
*   Tarps
*   Masks (for ash)
*   Important documents (copies)
*   Duct tape
*   Sleeping bags
*   Extra clothes
*   Charger
*   Hand sanitizer
*   Local maps
*   Multi-purpose tool
*   Contact list
*   Prescription medications
*   Battery-powered/hand-crank radio
*   Extra batteries
*   Cash (small bills/coins)
*   Goggles (for ash)",Be alert as always.,2025-12-14 00:12:39.003357
